merchant,#total,#benign,#fraud,%fraud
'M1294758098',191,7,184,96.33507853403141
'M3697346',308,18,290,94.15584415584416
'M1873032707',250,34,216,86.4
'M732195782',608,90,518,85.19736842105263
'M980657600',1769,297,1472,83.21085358959864
'M1353266412',78,14,64,82.05128205128204
'M857378720',122,30,92,75.40983606557377
'M2080407379',48,12,36,75.0
'M2011752106',244,78,166,68.0327868852459
'M17379832',282,104,178,63.12056737588653
'M2122776122',341,141,200,58.65102639296188
'M480139044',3508,1874,1634,46.57924743443558
'M1741626453',528,332,196,37.121212121212125
'M495352832',69,45,24,34.78260869565217
'M923029380',323,221,102,31.57894736842105
'M1888755466',912,684,228,25.0
'M1198415165',1580,1222,358,22.658227848101266
'M933210764',69,57,12,17.391304347826086
'M1748431652',274,238,36,13.138686131386862
'M547558035',949,833,116,12.223393045310853
'M840466850',1399,1241,158,11.293781272337384
'M1649169323',1173,1049,124,10.571184995737426
'M348875670',107,97,10,9.345794392523365
'M1535107174',1868,1694,174,9.314775160599572
'M50039827',916,870,46,5.021834061135371
'M855959430',6098,5818,280,4.591669399803214
'M209847108',3814,3708,106,2.779234399580493
'M78078399',1608,1564,44,2.736318407960199
'M151143676',6373,6253,120,1.8829436686019143
'M692898500',900,884,16,1.7777777777777777
'M1823072687',299693,299693,0,0.0
'M348934600',205426,205426,0,0.0
'M85975013',26254,26254,0,0.0
'M1053599405',6821,6821,0,0.0
'M1946091778',5343,5343,0,0.0
'M1913465890',3988,3988,0,0.0
'M349281107',2881,2881,0,0.0
'M1600850729',2624,2624,0,0.0
'M1400236507',776,776,0,0.0
'M1842530320',751,751,0,0.0
'M97925176',599,599,0,0.0
'M45060432',573,573,0,0.0
'M1313686961',527,527,0,0.0
'M1872033263',525,525,0,0.0
'M1352454843',370,370,0,0.0
'M677738360',358,358,0,0.0
'M1416436880',220,220,0,0.0
'M1788569036',181,181,0,0.0
'M117188757',21,21,0,0.0
'M1726401631',3,3,0,0.0
